component,encoded_id,category,label,score_Utama,score_Madya,score_Muda,score_Pertama,level_eligibility,doctoral_excluded
PS,ps55,Pengelola Fasilitas Riset dan Inovasi/ Laborato rium,Sebagai pelaksana pengelola fasilitas riset dan inovasi/laboratorium,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps56,Keanggota pada Organisasi Ilmiah,Menjadi pengurus organisasi ilmiah,3,3,3,3,Utama/Madya/Muda/Pertama,
PS,ps57,Keanggota pada Organisasi Ilmiah,Menjadi anggota organisasi ilmiah,1,1,1,1,Utama/Madya/Muda/Pertama,
PS,ps58,Prioritas Nasional,Dokumen Riset Kompleksitas Sangat Tinggi,40,40,40,40,Utama/Madya/Muda/Pertama,
PS,ps59,Prioritas Nasional,Dokumen Riset Kompleksitas Tinggi,20,20,20,20,Utama/Madya/Muda/Pertama,
PS,ps60,Prioritas Nasional,Dokumen Riset Kompleksitas Sedang,15,15,15,15,Utama/Madya/Muda/Pertama,
PS,ps61,Prioritas Nasional,Dokumen Riset Kompleksitas Sederhana,10,10,10,10,Utama/Madya/Muda/Pertama,
OC,oc01,Lisensi,Transaksi lisensi berbasis Kekayaan Intelektual/varietas dengan mitra internasional,35,35,30,30,Utama/Madya/Muda/Pertama,
OC,oc02,Lisensi,Transaksi lisensi berbasis Kekayaan Intelektual /varietas dengan mitra nasional,30,30,25,25,Utama/Madya/Muda/Pertama,
OC,oc03,Pemanfaatan Varietas,"Pemanfaatan varietas tanaman, benih unggul tanaman hutan, rumpun atau galur hewan/ikan oleh industri termasuk Usaha Mikro Kecil Menengah (UMKM)",20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc04,Pemanfaatan Varietas,"Pemanfaatan varietas tanaman, benih unggul tanaman hutan, rumpun atau galur hewan/ikan oleh Pemerintah Daerah",15,15,15,15,Utama/Madya/Muda/Pertama,
OC,oc05,Pemanfaatan Purwarupa,Pemanfaatan purwarupa oleh industri,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc06,Pemanfaatan Purwarupa,Pemanfaatan purwarupa oleh Kementerian/Lembaga,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc07,Pemanfaatan Purwarupa,Pemanfaatan purwarupa oleh Pemerintah Daerah,15,15,15,15,Utama/Madya/Muda/Pertama,
OC,oc08,Pemanfaatan Purwarupa,Purwarupa yang dimanfaatkan oleh Perguruan Tinggi/Lembaga Riset Non- Pemerintah,10,10,10,10,Utama/Madya/Muda/Pertama,
OC,oc09,Pemanfaatan Purwarupa,Purwarupa yang dimanfaatkan oleh asosiasi/organisasi profesi,5,5,5,5,Utama/Madya/Muda/Pertama,
OC,oc10,Pemanfaatan Naskah Kebijakan,Naskah akademik Rancangan Undang-Undang yang dimanfaatkan,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc11,Pemanfaatan Naskah Kebijakan,Naskah urgensi Rancangan Peraturan Pemerintah atau Rancangan Peraturan Presiden yang dimanfaatkan,15,15,15,15,Utama/Madya/Muda/Pertama,
OC,oc12,Pemanfaatan Naskah Kebijakan,Naskah urgensi rancangan peraturan menteri atau badan/lembaga yang dimanfaatkan,10,10,10,10,Utama/Madya/Muda/Pertama,
OC,oc13,Pemanfaatan Naskah Kebijakan,Naskah akademik Rancangan Peraturan Daerah yang dimanfaatkan,10,10,10,10,Utama/Madya/Muda/Pertama,
OC,oc14,Pemanfaatan Rekomendasi Kebijakan,Rekomendasi Kebijakan yang dimanfaatkan oleh Industri,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc15,Pemanfaatan Rekomendasi Kebijakan,Rekomendasi Kebijakan yang dimanfaatkan oleh Kementerian/Lembaga,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc16,Pemanfaatan Rekomendasi Kebijakan,Rekomendasi Kebijakan yang dimanfaatkan oleh Pemerintah Daerah,15,15,15,15,Utama/Madya/Muda/Pertama,
OC,oc17,Pemanfaatan Rekomendasi Kebijakan,Rekomendasi Kebijakan yang dimanfaatkan oleh unit kerja internal BRIN,5,5,5,5,Utama/Madya/Muda/Pertama,
OC,oc18,Pemanfaatan Teknologi/ Produk Riset,Teknologi/Produk Riset yang dimanfaatkan oleh industri,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc19,Pemanfaatan Teknologi/ Produk Riset,Teknologi/Produk Riset yang dimanfaatkan oleh Kementerian/Lembaga,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc20,Pemanfaatan Teknologi/ Produk Riset,Teknologi/Produk Riset yang dimanfaatkan oleh Pemerintah Daerah,15,15,15,15,Utama/Madya/Muda/Pertama,
OC,oc21,Teknologi/ Produk Riset,Teknologi/Produk Riset yang dimanfaatkan oleh Perguruan Tinggi,5,5,5,5,Utama/Madya/Muda/Pertama,
OC,oc22,Pemanfaatan Teknologi/ Produk Riset,Teknologi/Produk Riset yang dimanfaatkan oleh asosiasi/organisasi profesi,5,5,5,5,Utama/Madya/Muda/Pertama,
OC,oc23,Pemanfaatan Dokumen Standardi sasi,Laporan Analisis Keselamatan (LAK) Nuklir yang dimanfaatkan oleh Industri,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc24,Pemanfaatan Dokumen Standardi sasi,Laporan Analisis Keselamatan (LAK) Nuklir yang dimanfaatkan oleh Kementerian/Lembaga,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc25,Pemanfaatan Dokumen,Dokumen Modul pelatihan berbasis riset,5,5,5,5,Utama/Madya/Muda/Pertama,
OC,oc26,Pemanfaatan Audit Teknologi,Rekomendasi audit teknologi yang dimanfaatkan oleh industri,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc27,Pemanfaatan Audit Teknologi,Rekomendasi audit teknologi yang dimanfaatkan oleh kementerian/lembaga,15,15,15,15,Utama/Madya/Muda/Pertama,
OC,oc28,Pemanfaatan Dataset,Dataset yang dimanfaatkan oleh industri,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc29,Pemanfaatan Dataset,Dataset yang dimanfaatkan oleh Kementerian/Lembaga,15,15,15,15,Utama/Madya/Muda/Pertama,
OC,oc30,Pemanfaatan Dataset,Dataset yang dimanfaatkan oleh Pemerintah Daerah,10,10,10,10,Utama/Madya/Muda/Pertama,
OC,oc31,Pemanfaatan Dataset,Dataset yang dimanfaatkan oleh unit kerja internal BRIN/Perguruan tinggi,5,5,5,5,Utama/Madya/Muda/Pertama,
OC,oc32,Pemanfaatan Dataset,Dataset yang dimanfaatkan secara nasional dan global,5,5,5,5,Utama/Madya/Muda/Pertama,
OC,oc33,Pemanfaatan Publikasi,Pemanfaatan publikasi oleh periset lain dalam bentuk sitasi pada Scopus/WOS/SAGE,5,5,5,5,Utama/Madya/Muda/Pertama,
OC,oc34,Pemanfaatan Publikasi,Pemanfaatan publikasi oleh periset lain dalam bentuk sitasi selain Scopus/WOS,2.5,2.5,2.5,2.5,Utama/Madya/Muda/Pertama,
OC,oc35,Prioritas Nasional,Dokumen Riset Kompleksitas Sangat Tinggi,40,40,40,40,Utama/Madya/Muda/Pertama,
OC,oc36,Prioritas Nasional,Dokumen Riset Kompleksitas Tinggi,20,20,20,20,Utama/Madya/Muda/Pertama,
OC,oc37,Prioritas Nasional,Dokumen Riset Kompleksitas Sedang,15,15,15,15,Utama/Madya/Muda/Pertama,
OC,oc38,Prioritas Nasional,Dokumen Riset Kompleksitas Sederhana,10,10,10,10,Utama/Madya/Muda/Pertama,
OP,op01,Jurnal,Karya tulis ilmiah (KTI) yang dipublikasikan pada jurnal ilmiah global bereputasi tinggi,40,45,50,55,Utama/Madya/Muda/Pertama,
OP,op02,Jurnal,Karya tulis ilmiah (KTI) yang dipublikasikan pada jurnal ilmiah global bereputasi menengah,20,40,45,50,Utama/Madya/Muda/Pertama,
OP,op03,Jurnal,Karya tulis ilmiah (KTI) yang dipublikasikan pada Jurnal ilmiah global bereputasi,15,20,40,45,Utama/Madya/Muda/Pertama,
OP,op04,Jurnal,Karya tulis ilmiah (KTI) yang dipublikasikan pada Jurnal ilmiah global lainnya,10,15,20,40,Utama/Madya/Muda/Pertama,
OP,op05,Jurnal,Karya tulis ilmiah (KTI) yang dipublikasikan dalam Jurnal terakreditasi nasional SINTA 1,5,10,15,20,Utama/Madya/Muda/Pertama,
OP,op06,Jurnal,Karya tulis ilmiah (KTI) yang dipublikasikan dalam Jurnal terakreditasi nasional SINTA 2,3,5,10,15,Utama/Madya/Muda/Pertama,
OP,op07,Jurnal,Karya tulis ilmiah ( KTI) yang dipublikasikan dalam Jurnal terakreditasi nasional SINTA 3,2,3,5,10,Utama/Madya/Muda/Pertama,
OP,op08,Buku,Buku atau Bagian dari buku ilmiah yang diterbitkan oleh penerbit internasional bereputasi,40,45,50,55,Utama/Madya/Muda/Pertama,
OP,op09,Buku,Buku atau bagian dari buku ilmiah yang diterbitkan oleh penerbit internasional lainnya,25,45,50,55,Utama/Madya/Muda/Pertama,
OP,op10,Buku,Buku atau bagian dari buku ilmiah yang diterbitkan oleh penerbit ilmiah nasional terakreditasi,15,20,25,30,Utama/Madya/Muda/Pertama,
OP,op11,Buku,Buku atau bagian dari buku ilmiah yang diterbitkan oleh penerbit nasional,10,15,20,25,Utama/Madya/Muda/Pertama,
OP,op12,Buku,Buku atau bagian dari buku ilmiah yang diterbitkan oleh penerbit nasional lainnya,5,10,15,20,Utama/Madya/Muda/Pertama,
OP,op13,Prosiding,Karya tulis ilmiah (KTI) yang dipublikasikan dalam Prosiding Global Bereputasi,5,10,15,20,Utama/Madya/Muda/Pertama,
OP,op14,Prosiding,Karya tulis ilmiah (KTI) yang dipublikasikan dalam Prosiding Global,3,5,7,10,Utama/Madya/Muda/Pertama,
OP,op15,Prosiding,Karya tulis ilmiah (KTI) yang dipublikasikan dalam Prosiding Nasional,2,4,6,8,Utama/Madya/Muda/Pertama,
OP,op16,Buku,Draft Naskah Orasi Jumlah,2,,,,Utama,
OP,op17,Buku,Buku Ajar yang diterbitkan dalam media cetak atau elektronik,2,2,2,2,Utama/Madya/Muda/Pertama,
OP,op18,Artikel Ilmiah Artikel ilmiah,populer yang diterbitkan pada media massa terpercaya,1,1,1,1,Utama/Madya/Muda/Pertama,
OP,op19,Kekayaan Intelektual (KI),KI yang telah dikabulkan dalam bentuk paten internasional,40,45,50,55,Utama/Madya/Muda/Pertama,
OP,op20,Kekayaan Intelektual (KI),KI yang telah dikabulkan dalam bentuk paten nasional,35,40,45,50,Utama/Madya/Muda/Pertama,
OP,op21,Kekayaan Intelektual (KI),KI terdaftar dalam bentuk paten internasional,30,35,40,45,Utama/Madya/Muda/Pertama,
OP,op22,Kekayaan Intelektual (KI),KI terdaftar dalam bentuk paten nasional,25,30,35,40,Utama/Madya/Muda/Pertama,
OP,op23,Kekayaan Intelektual (KI),KI yang telah dikabulkan dalam bentuk paten sederhana,25,30,35,40,Utama/Madya/Muda/Pertama,
OP,op24,Kekayaan Intelektual (KI),KI dalam bentuk paten sederhana terdaftar,15,20,25,30,Utama/Madya/Muda/Pertama,
OP,op25,Kekayaan Intelektual (KI),"Hak cipta dalam bentuk perangkat lunak/algoritma, desain industri, dataset, desain, peta, model, aplikasi, tata letak sirkuit terpadu serta hak cipta lainya yang merupakan hasil kegiatan riset",10,15,20,25,Utama/Madya/Muda/Pertama,
OP,op26,Varietas,Pelepasan varietas tanaman nasional atau benih unggul tanaman hutan yang dikabulkan,40,45,50,55,Utama/Madya/Muda/Pertama,
OP,op27,Varietas,Perlindungan varietas tanaman nasional,35,40,45,50,Utama/Madya/Muda/Pertama,
OP,op28,Varietas,Varietas Tanaman Terdaftar Hasil Pemuliaan/Lokal,30,35,40,45,Utama/Madya/Muda/Pertama,
OP,op29,Rumpun atau Galur,Pelepasan rumpun atau galur hewan/ikan,40,45,50,55,Utama/Madya/Muda/Pertama,
OP,op30,Rumpun atau Galur,Penetapan rumpun atau galur hewan,35,40,45,50,Utama/Madya/Muda/Pertama,
OP,op31,Obat,Produk Vaksin/Obat yang telah diuji dan digunakan,40,45,50,55,Utama/Madya/Muda/Pertama,
OP,op32,Obat,Senyawa bahan alam/sintetis yang telah diuji dan digunakan,35,35,35,35,Utama/Madya/Muda/Pertama,
OP,op33,Naskah Kebijakan,Naskah Akademik yang telah disusun sesuai kebutuhan instansi terkait,5,10,15,25,Utama/Madya/Muda/Pertama,
OP,op34,Naskah Kebijakan,Naskah Urgensi yang telah disusun sesuai kebutuhan instansi terkait,3,5,7,10,Utama/Madya/Muda/Pertama,
OP,op35,Naskah Kebijakan,Policy Brief yang telah disusun sesuai kebutuhan instansi terkait,2,5,7,10,Utama/Madya/Muda/Pertama,
OP,op36,Naskah Kebijakan,Policy Paper yang telah disusun sesuai kebutuhan instansi terkait,2,5,7,10,Utama/Madya/Muda/Pertama,
OP,op37,Dokumen hasil Riset Contoh: Program dokumen DED ( Detail Engineering Design ) FEED ( Front End Engineering Design ) Laporan Analisis Keselamatan (LAK) Rancang bangun Uji kinerja Dokumen prosedu Standardi sasi Model Purwarupa Dataset Dokumen lainnya berdasarkan telaah Kepala Pusat/Organi sasi riset Library,Dokumen Riset Kompleksitas Sangat Tinggi,40,40,40,40,Utama/Madya/Muda/Pertama,
OP,op38,Dokumen hasil Riset Contoh: Program dokumen DED ( Detail Engineering Design ) FEED ( Front End Engineering Design ) Laporan Analisis Keselamatan (LAK) Rancang bangun Uji kinerja Dokumen prosedu Standardi sasi Model Purwarupa Dataset Dokumen lainnya berdasarkan telaah Kepala Pusat/Organi sasi riset Library,Dokumen Riset Kompleksitas Tinggi,20,20,20,20,Utama/Madya/Muda/Pertama,
OP,op39,Dokumen hasil Riset Contoh: Program dokumen DED ( Detail Engineering Design ) FEED ( Front End Engineering Design ) Laporan Analisis Keselamatan (LAK) Rancang bangun Uji kinerja Dokumen prosedu Standardi sasi Model Purwarupa Dataset Dokumen lainnya berdasarkan telaah Kepala Pusat/Organi sasi riset Library,Dokumen Riset Kompleksitas Sedang,15,15,15,15,Utama/Madya/Muda/Pertama,
OP,op40,Dokumen hasil Riset Contoh: Program dokumen DED ( Detail Engineering Design ) FEED ( Front End Engineering Design ) Laporan Analisis Keselamatan (LAK) Rancang bangun Uji kinerja Dokumen prosedu Standardi sasi Model Purwarupa Dataset Dokumen lainnya berdasarkan telaah Kepala Pusat/Organi sasi riset Library,Dokumen Riset Kompleksitas Sederhana,10,10,10,10,Utama/Madya/Muda/Pertama,
OP,op41,Produk Riset Lainnya,Peta yang dihasilkan dari pengolahan data penginderaan jauh dan/atau analisis geospasial,2.5,5,7,10,Utama/Madya/Muda/Pertama,
OP,op42,Produk Riset Lainnya,Galur tanaman atau galur ternak yang terseleksi,10,15,20,25,Utama/Madya/Muda/Pertama,
OP,op43,Produk Riset Lainnya,Temuan Spesies baru,2.5,5,7,10,Utama/Madya/Muda/Pertama,
OP,op44,Produk Riset Lainnya,Isolat mikroba/organisme terkarakterisasi/seed vaksin yang dihasilkan,20,20,20,20,Utama/Madya/Muda/Pertama,
OP,op45,Produk Riset Lainnya,Dataset sequence DNA/RNA/ Protein dan dataset human genome serta biomarker,10,10,10,10,Utama/Madya/Muda/Pertama,
OP,op46,Produk Riset Lainnya,Dataset biomarker kesehatan,10,10,10,10,Utama/Madya/Muda/Pertama,
