component,encoded_id,category,label,score_Utama,score_Madya,score_Muda,score_Pertama,level_eligibility,doctoral_excluded
PK,pk22,Pembim bingan Sumber Daya Manusia,"Membimbing sumber daya manusia lain dengan hasil jurnal global bereputasi tinggi, buku ilmiah yang diterbitkan oleh penerbit internasional bereputasi, transaksi lisensi",2.5,5,7.5,,Utama/Madya/Muda,
PK,pk23,Pembim bingan Sumber Daya Manusia,"Membimbing sumber daya manusia lain dengan hasil jurnal global bereputasi menengah buku ilmiah yang diterbitkan oleh penerbit internasional lainnya, kekayaan intelektual bersertifikat telah dikabulkan (selain paten sederhana)",1,3,5,,Utama/Madya/Muda,
PK,pk24,Pembimbi ngan Sumber Daya Manusia,"Menjadi instruktur, fasilitator, atau narasumber dalam pelatihan internasional",5,7.5,10,12.5,Utama/Madya/Muda/Pertama,
PK,pk25,Pembimbi ngan Sumber Daya Manusia,"Menjadi instruktur, fasilitator, atau narasumber dalam pelatihan teknis nasional",2.5,5,7.5,10,Utama/Madya/Muda/Pertama,
PK,pk26,Pembimbi ngan Sumber Daya Manusia,Menjadi pengajar dalam pelatihan kepemimpinan/manajerial,5,5,7.5,7.5,Utama/Madya/Muda/Pertama,
PK,pk27,Pendidikan,Melanjutkan pendidikan jenjang S3,15,20,35,40,Utama/Madya/Muda/Pertama,Yes
PK,pk28,Pendidikan,Melanjutkan pendidikan jenjang S2,15,20,35,40,Utama/Madya/Muda/Pertama,Yes
PK,pk29,Pendidikan,Mendapatkan LOA/Beasiswa melanjutkan pendidikan jenjang S2/S3,7.5,10,17.5,20,Utama/Madya/Muda/Pertama,Yes
PK,pk30,Pendidikan,Melanjutkan pendidikan profesi,10,10,20,20,Utama/Madya/Muda/Pertama,Yes
PK,pk31,Pelatihan,Menjadi peserta pascadoktoral di luar negeri,10,10,20,20,Utama/Madya/Muda/Pertama,
PK,pk32,Pelatihan,Menjadi visiting reasearcher,5,5,10,10,Utama/Madya/Muda/Pertama,
PK,pk33,Pelatihan,Menjadi peserta magang,,5,10,15,Madya/Muda/Pertama,
PK,pk34,Pelatihan,Menjadi peserta dalam kegiatan pelatihan internasional,2.5,5,7.5,10,Utama/Madya/Muda/Pertama,
PK,pk35,Pelatihan,Menjadi peserta dalam kegiatan coaching atau mentoring,,2.5,5,7.5,Madya/Muda/Pertama,
PK,pk36,Pelatihan,Menjadi peserta dalam pelatihan teknis nasional,,2.5,5,7.5,Madya/Muda/Pertama,
PK,pk37,Pelatihan,Menjadi peserta dalam Pelatihan Kepemimpinan/Manajerial,5,5,5,5,Utama/Madya/Muda/Pertama,
PK,pk38,Pelatihan,Menjadi peserta dalam kegiatan seminar/webinar ilmiah/ sharing session/focus group discussion ( FGD) internasional,2,3,4,5,Utama/Madya/Muda/Pertama,
PK,pk39,Pelatihan,Menjadi peserta dalam kegiatan seminar/webinar ilmiah/ sharing session/ focus group discussion ( FGD) nasional,,2,3,4,Madya/Muda/Pertama,
PK,pk40,Pelatihan,Menjadi peserta dalam kegiatan seminar/webinar ilmiah/ sharing session / focus group discussion ( FGD) internal BRIN,,1,2,3,Madya/Muda/Pertama,
PK,pk41,Pembimbi ngan Sumber Daya Manusia,Dokumen Riset Kompleksitas Sangat Tinggi,40,40,40,40,Utama/Madya/Muda/Pertama,
PK,pk42,Pembimbi ngan Sumber Daya Manusia,Dokumen Riset Kompleksitas Tinggi,20,20,20,20,Utama/Madya/Muda/Pertama,
PK,pk43,Pembimbi ngan Sumber Daya Manusia,Dokumen Riset Kompleksitas Sedang,15,15,15,15,Utama/Madya/Muda/Pertama,
PK,pk44,Pembimbi ngan Sumber Daya Manusia,Dokumen Riset Kompleksitas Sederhana,10,10,10,10,Utama/Madya/Muda/Pertama,
PK,pk45,Prioritas Nasional,Dokumen Riset Kompleksitas Sangat Tinggi,40,40,40,40,Utama/Madya/Muda/Pertama,
PK,pk46,Prioritas Nasional,Dokumen Riset Kompleksitas Tinggi,20,20,20,20,Utama/Madya/Muda/Pertama,
PK,pk47,Prioritas Nasional,Dokumen Riset Kompleksitas Sedang,15,15,15,15,Utama/Madya/Muda/Pertama,
PK,pk48,Prioritas Nasional,Dokumen Riset Kompleksitas Sederhana,10,10,10,10,Utama/Madya/Muda/Pertama,
